code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
cme_Latn,0.0097,0.0047,0.0097
gud_Latn,0.0,0.0,0.0
pcm_Latn,0.1165,0.037,0.1165
gvs_Latn,0.0,0.0,0.0
ayo_Latn,0.0097,0.001,0.0097
mdy_Ethi,0.0097,0.0003,0.0097
kne_Latn,0.0194,0.0121,0.0194
kir_Cyrl,0.0388,0.0063,0.0388
kmr_Latn,0.0194,0.0037,0.0194
nyo_Latn,0.0194,0.0021,0.0194
zaw_Latn,0.0194,0.0081,0.0194
mti_Latn,0.0097,0.0016,0.0097
chk_Latn,0.0194,0.0024,0.0194
niq_Latn,0.0194,0.006,0.0194
gya_Latn,0.0097,0.0013,0.0097
poh_Latn,0.0291,0.0068,0.0291
twi_Latn,0.0194,0.0084,0.0194
srp_Latn,0.4369,0.1826,0.4369
mnk_Latn,0.0097,0.0005,0.0097
tby_Latn,0.0097,0.001,0.0097
ctp_Latn,0.0194,0.0008,0.0194
hin_Deva,0.1748,0.0533,0.1748
gof_Latn,0.0097,0.001,0.0097
pes_Arab,0.1845,0.063,0.1845
isd_Latn,0.0291,0.0152,0.0291
arl_Latn,0.0097,0.0003,0.0097
zlm_Latn,0.5534,0.2548,0.5534
wmw_Latn,0.0097,0.006,0.0097
sah_Cyrl,0.0,0.0,0.0
ntu_Latn,0.0097,0.0016,0.0097
nwb_Latn,0.0,0.0,0.0
seh_Latn,0.0097,0.0037,0.0097
far_Latn,0.0097,0.0034,0.0097
cpa_Latn,0.0097,0.0042,0.0097
tel_Telu,0.068,0.016,0.068
bzd_Latn,0.0194,0.0076,0.0194
ojb_Cans,0.0,0.0,0.0
bim_Latn,0.0194,0.0034,0.0194
luo_Latn,0.0097,0.0052,0.0097
awb_Latn,0.0097,0.001,0.0097
war_Latn,0.0874,0.0278,0.0874
mva_Latn,0.0097,0.0003,0.0097
ptu_Latn,0.0097,0.0045,0.0097
zpv_Latn,0.0194,0.0021,0.0194
sim_Latn,0.0097,0.0003,0.0097
toc_Latn,0.0,0.0,0.0
lom_Latn,0.0,0.0,0.0
gde_Latn,0.0194,0.0058,0.0194
sot_Latn,0.0291,0.0058,0.0291
mcq_Latn,0.0,0.0,0.0
epo_Latn,0.4369,0.1774,0.4369
lit_Latn,0.301,0.117,0.301
mpx_Latn,0.0097,0.0008,0.0097
upv_Latn,0.0097,0.001,0.0097
usa_Latn,0.0097,0.0003,0.0097
nnw_Latn,0.0,0.0,0.0
hak_Latn,0.0,0.0,0.0
zav_Latn,0.0097,0.0003,0.0097
guk_Ethi,0.0,0.0,0.0
aoi_Latn,0.0,0.0,0.0
nyn_Latn,0.0097,0.0052,0.0097
kkj_Latn,0.0097,0.0013,0.0097
kms_Latn,0.0194,0.001,0.0194
bth_Latn,0.0388,0.015,0.0388
mai_Deva,0.0291,0.0055,0.0291
bnj_Latn,0.0097,0.0024,0.0097
ape_Latn,0.0097,0.001,0.0097
gog_Latn,0.0194,0.006,0.0194
aeu_Latn,0.0,0.0,0.0
qve_Latn,0.0194,0.0047,0.0194
ncl_Latn,0.0194,0.0018,0.0194
cbv_Latn,0.0097,0.0016,0.0097
ifu_Latn,0.0097,0.0029,0.0097
bkd_Latn,0.0194,0.0063,0.0194
srq_Latn,0.0097,0.0039,0.0097
poi_Latn,0.0097,0.0045,0.0097
caa_Latn,0.0097,0.0013,0.0097
att_Latn,0.0194,0.0079,0.0194
hmo_Latn,0.0097,0.001,0.0097
pma_Latn,0.0097,0.0016,0.0097
spy_Latn,0.0097,0.0003,0.0097
adj_Latn,0.0,0.0,0.0
byr_Latn,0.0,0.0,0.0
pan_Guru,0.0097,0.001,0.0097
mil_Latn,0.0,0.0,0.0
ndj_Latn,0.0194,0.0052,0.0194
kvn_Latn,0.0097,0.0045,0.0097
run_Latn,0.0097,0.0031,0.0097
nma_Latn,0.0097,0.0003,0.0097
pad_Latn,0.0097,0.0005,0.0097
qxh_Latn,0.0194,0.0037,0.0194
mcp_Latn,0.0097,0.0039,0.0097
otm_Latn,0.0097,0.0005,0.0097
sil_Latn,0.0097,0.0024,0.0097
anv_Latn,0.0,0.0,0.0
lol_Latn,0.0194,0.001,0.0194
tob_Latn,0.0,0.0,0.0
bsn_Latn,0.0097,0.0005,0.0097
efi_Latn,0.0291,0.0047,0.0291
nho_Latn,0.0194,0.0084,0.0194
cwe_Latn,0.0097,0.0034,0.0097
sgb_Latn,0.0194,0.0063,0.0194
pis_Latn,0.0097,0.0026,0.0097
old_Latn,0.0097,0.0029,0.0097
cab_Latn,0.0194,0.0026,0.0194
bhp_Latn,0.0194,0.0024,0.0194
cbu_Latn,0.0,0.0,0.0
emi_Latn,0.0097,0.0013,0.0097
sbl_Latn,0.0097,0.0005,0.0097
dwr_Latn,0.0097,0.0018,0.0097
kki_Latn,0.0097,0.0034,0.0097
shp_Latn,0.0291,0.0087,0.0291
sxn_Latn,0.0194,0.0034,0.0194
aym_Latn,0.0194,0.0047,0.0194
azz_Latn,0.0097,0.0034,0.0097
lif_Limb,0.0,0.0,0.0
mbl_Latn,0.0097,0.0003,0.0097
lhi_Latn,0.0097,0.0018,0.0097
eve_Cyrl,0.0097,0.0003,0.0097
kng_Latn,0.0097,0.0005,0.0097
otn_Latn,0.0097,0.0005,0.0097
gdg_Latn,0.0291,0.0087,0.0291
msm_Latn,0.0194,0.0042,0.0194
pag_Latn,0.0291,0.011,0.0291
inb_Latn,0.0194,0.0079,0.0194
wap_Latn,0.0097,0.0003,0.0097
mej_Latn,0.0194,0.0058,0.0194
gai_Latn,0.0097,0.001,0.0097
yml_Latn,0.0,0.0,0.0
zpt_Latn,0.0194,0.0066,0.0194
kia_Latn,0.0097,0.0024,0.0097
cpc_Latn,0.0097,0.0034,0.0097
adi_Latn,0.0291,0.0089,0.0291
fry_Latn,0.0777,0.0239,0.0777
ded_Latn,0.0,0.0,0.0
ksc_Latn,0.0194,0.0113,0.0194
zia_Latn,0.0097,0.0026,0.0097
tuc_Latn,0.0097,0.0063,0.0097
tpm_Latn,0.0097,0.0016,0.0097
bov_Latn,0.0097,0.0031,0.0097
ces_Latn,0.4563,0.2068,0.4563
tsz_Latn,0.0194,0.0094,0.0194
arn_Latn,0.0097,0.0052,0.0097
ndi_Latn,0.0097,0.0003,0.0097
roo_Latn,0.0,0.0,0.0
iry_Latn,0.0194,0.0076,0.0194
mio_Latn,0.0097,0.0008,0.0097
kbc_Latn,0.0097,0.0021,0.0097
qup_Latn,0.0194,0.0071,0.0194
cac_Latn,0.0194,0.0045,0.0194
cbt_Latn,0.0097,0.0024,0.0097
pir_Latn,0.0,0.0,0.0
lac_Latn,0.0194,0.0047,0.0194
acn_Latn,0.0097,0.0029,0.0097
tbz_Latn,0.0,0.0,0.0
maz_Latn,0.0194,0.0013,0.0194
knf_Latn,0.0097,0.0024,0.0097
gug_Latn,0.0194,0.0045,0.0194
tyv_Cyrl,0.0097,0.0026,0.0097
mtj_Latn,0.0097,0.0039,0.0097
zat_Latn,0.0194,0.0031,0.0194
jam_Latn,0.0194,0.0084,0.0194
gah_Latn,0.0,0.0,0.0
zpu_Latn,0.0291,0.0045,0.0291
uig_Arab,0.0194,0.0031,0.0194
uvl_Latn,0.0097,0.0026,0.0097
lif_Deva,0.0,0.0,0.0
con_Latn,0.0194,0.0076,0.0194
bak_Cyrl,0.0291,0.0045,0.0291
cly_Latn,0.0194,0.0055,0.0194
tiy_Latn,0.0097,0.0018,0.0097
mcr_Latn,0.0097,0.0003,0.0097
hra_Latn,0.0194,0.0045,0.0194
ron_Latn,0.4951,0.2115,0.4951
cul_Latn,0.0,0.0,0.0
min_Latn,0.0291,0.0157,0.0291
wnc_Latn,0.0,0.0,0.0
ksb_Latn,0.0194,0.0021,0.0194
naf_Latn,0.0,0.0,0.0
nbq_Latn,0.0,0.0,0.0
ita_Latn,0.8252,0.4702,0.8252
cpb_Latn,0.0194,0.006,0.0194
adh_Latn,0.0194,0.006,0.0194
ory_Orya,0.0194,0.0031,0.0194
ind_Latn,0.6796,0.3285,0.6796
obo_Latn,0.0194,0.0018,0.0194
mur_Latn,0.0097,0.0008,0.0097
dig_Latn,0.0194,0.0052,0.0194
msk_Latn,0.0194,0.0084,0.0194
sop_Latn,0.0097,0.0003,0.0097
xav_Latn,0.0,0.0,0.0
lip_Latn,0.0097,0.0021,0.0097
mcu_Latn,0.0194,0.0031,0.0194
cuk_Latn,0.0194,0.0052,0.0194
uig_Latn,0.0097,0.001,0.0097
kff_Telu,0.0,0.0,0.0
yao_Latn,0.0097,0.0005,0.0097
ndo_Latn,0.0097,0.0045,0.0097
sur_Latn,0.0097,0.0037,0.0097
iba_Latn,0.0291,0.0108,0.0291
tue_Latn,0.0097,0.0003,0.0097
leu_Latn,0.0097,0.0021,0.0097
mop_Latn,0.0194,0.0024,0.0194
uli_Latn,0.0097,0.0026,0.0097
quw_Latn,0.0097,0.0026,0.0097
mmx_Latn,0.0194,0.0045,0.0194
wib_Latn,0.0,0.0,0.0
kum_Cyrl,0.0097,0.0021,0.0097
pol_Latn,0.4951,0.2175,0.4951
enx_Latn,0.0097,0.0031,0.0097
trc_Latn,0.0097,0.0008,0.0097
hye_Latn,0.0,0.0,0.0
mbj_Latn,0.0,0.0,0.0
zas_Latn,0.0194,0.0071,0.0194
njb_Latn,0.0097,0.0008,0.0097
bbj_Latn,0.0194,0.0042,0.0194
bqc_Latn,0.0097,0.0013,0.0097
rad_Latn,0.0097,0.0021,0.0097
pri_Latn,0.0097,0.0005,0.0097
hye_Armn,0.0583,0.016,0.0583
bvd_Latn,0.0097,0.0005,0.0097
soq_Latn,0.0097,0.0026,0.0097
qxl_Latn,0.0097,0.0018,0.0097
bus_Latn,0.0,0.0,0.0
ahk_Latn,0.0,0.0,0.0
dif_Latn,0.0194,0.0063,0.0194
ikk_Latn,0.0,0.0,0.0
bem_Latn,0.0194,0.0079,0.0194
gwi_Latn,0.0194,0.0055,0.0194
khm_Khmr,0.0097,0.0003,0.0097
ptp_Latn,0.0097,0.0021,0.0097
ame_Latn,0.0097,0.0047,0.0097
bsj_Latn,0.0,0.0,0.0
pwg_Latn,0.0,0.0,0.0
tof_Latn,0.0,0.0,0.0
nri_Latn,0.0097,0.0024,0.0097
ign_Latn,0.0194,0.0016,0.0194
ksd_Latn,0.0291,0.0126,0.0291
kvj_Latn,0.0097,0.0003,0.0097
mza_Latn,0.0097,0.0018,0.0097
sus_Latn,0.0097,0.0003,0.0097
mih_Latn,0.0097,0.0058,0.0097
tcc_Latn,0.0097,0.0018,0.0097
lcm_Latn,0.0097,0.0042,0.0097
yby_Latn,0.0,0.0,0.0
ntp_Latn,0.0,0.0,0.0
yan_Latn,0.0194,0.0063,0.0194
kgk_Latn,0.0,0.0,0.0
ctu_Latn,0.0194,0.0031,0.0194
ach_Latn,0.0097,0.0005,0.0097
nch_Latn,0.0097,0.0021,0.0097
yua_Latn,0.0194,0.0042,0.0194
hlt_Latn,0.0097,0.0005,0.0097
cbr_Latn,0.0194,0.0047,0.0194
qva_Latn,0.0291,0.0081,0.0291
giz_Latn,0.0194,0.0066,0.0194
sbk_Latn,0.0194,0.0042,0.0194
alz_Latn,0.0194,0.0042,0.0194
khy_Latn,0.0,0.0,0.0
bru_Latn,0.0,0.0,0.0
aom_Latn,0.0097,0.0031,0.0097
zar_Latn,0.0291,0.0024,0.0291
mqb_Latn,0.0,0.0,0.0
cnw_Latn,0.0194,0.0034,0.0194
snn_Latn,0.0097,0.0034,0.0097
pmf_Latn,0.0194,0.0018,0.0194
mle_Latn,0.0,0.0,0.0
lew_Latn,0.0097,0.0026,0.0097
mor_Latn,0.0,0.0,0.0
iws_Latn,0.0,0.0,0.0
yam_Latn,0.0097,0.0003,0.0097
abt_Latn,0.0,0.0,0.0
cui_Latn,0.0,0.0,0.0
tpi_Latn,0.0097,0.0026,0.0097
nnq_Latn,0.0097,0.0018,0.0097
cok_Latn,0.0097,0.001,0.0097
djr_Latn,0.0,0.0,0.0
nmf_Latn,0.0194,0.0026,0.0194
amh_Ethi,0.0,0.0,0.0
qxo_Latn,0.0097,0.0021,0.0097
gam_Latn,0.0,0.0,0.0
men_Latn,0.0194,0.0005,0.0194
tir_Ethi,0.0,0.0,0.0
mfy_Latn,0.0097,0.001,0.0097
amf_Latn,0.0194,0.0037,0.0194
szb_Latn,0.0194,0.001,0.0194
bcw_Latn,0.0,0.0,0.0
pfe_Latn,0.0097,0.0003,0.0097
mto_Latn,0.0097,0.0008,0.0097
jra_Latn,0.0097,0.0008,0.0097
rro_Latn,0.0194,0.0021,0.0194
ewo_Latn,0.0291,0.0115,0.0291
aon_Latn,0.0,0.0,0.0
khz_Latn,0.0097,0.001,0.0097
hub_Latn,0.0194,0.0084,0.0194
aly_Latn,0.0097,0.0018,0.0097
lhm_Latn,0.0097,0.0021,0.0097
gfk_Latn,0.0194,0.0071,0.0194
mbh_Latn,0.0097,0.0016,0.0097
cnt_Latn,0.0097,0.0003,0.0097
xsb_Latn,0.0291,0.0094,0.0291
gub_Latn,0.0,0.0,0.0
pck_Latn,0.0194,0.0039,0.0194
apb_Latn,0.0097,0.0013,0.0097
rmc_Latn,0.0194,0.0079,0.0194
gjn_Latn,0.0097,0.0005,0.0097
nsu_Latn,0.0194,0.0066,0.0194
aer_Latn,0.0097,0.0003,0.0097
kaq_Latn,0.0194,0.0039,0.0194
caf_Latn,0.0097,0.0039,0.0097
pon_Latn,0.0097,0.0005,0.0097
san_Deva,0.0485,0.0131,0.0485
kqo_Latn,0.0,0.0,0.0
yre_Latn,0.0,0.0,0.0
yal_Latn,0.0097,0.0008,0.0097
kaa_Cyrl,0.0388,0.0063,0.0388
ntr_Latn,0.0,0.0,0.0
tca_Latn,0.0,0.0,0.0
mos_Latn,0.0097,0.001,0.0097
adl_Latn,0.0194,0.0021,0.0194
gkp_Latn,0.0,0.0,0.0
ksf_Latn,0.0194,0.0005,0.0194
cco_Latn,0.0097,0.0034,0.0097
tuf_Latn,0.0194,0.0058,0.0194
nbu_Latn,0.0097,0.0003,0.0097
nhi_Latn,0.0194,0.0076,0.0194
gqr_Latn,0.0097,0.0003,0.0097
uvh_Latn,0.0,0.0,0.0
grt_Beng,0.0097,0.0003,0.0097
kjs_Latn,0.0097,0.0005,0.0097
cym_Latn,0.0485,0.0194,0.0485
zpq_Latn,0.0097,0.0013,0.0097
sld_Latn,0.0,0.0,0.0
prk_Latn,0.0097,0.0013,0.0097
qxn_Latn,0.0097,0.0066,0.0097
beo_Latn,0.0097,0.0018,0.0097
nnp_Latn,0.0097,0.0005,0.0097
pab_Latn,0.0194,0.0037,0.0194
mrw_Latn,0.0,0.0,0.0
guc_Latn,0.0097,0.0031,0.0097
xsr_Deva,0.0,0.0,0.0
mbi_Latn,0.0,0.0,0.0
tku_Latn,0.0194,0.0024,0.0194
xed_Latn,0.0,0.0,0.0
shu_Latn,0.0388,0.0068,0.0388
ilo_Latn,0.0388,0.0136,0.0388
cag_Latn,0.0194,0.0052,0.0194
dgi_Latn,0.0,0.0,0.0
ncj_Latn,0.0194,0.0029,0.0194
tgp_Latn,0.0291,0.0115,0.0291
dww_Latn,0.0097,0.0013,0.0097
qvc_Latn,0.0097,0.0005,0.0097
nst_Latn,0.0097,0.0026,0.0097
ldi_Latn,0.0097,0.0024,0.0097
crn_Latn,0.0097,0.0003,0.0097
glv_Latn,0.0194,0.0052,0.0194
hix_Latn,0.0,0.0,0.0
stn_Latn,0.0097,0.0003,0.0097
mzm_Latn,0.0,0.0,0.0
ngu_Latn,0.0194,0.0042,0.0194
are_Latn,0.0291,0.0066,0.0291
ong_Latn,0.0097,0.0003,0.0097
zos_Latn,0.0291,0.0016,0.0291
awk_Latn,0.0097,0.001,0.0097
agu_Latn,0.0194,0.0055,0.0194
nre_Latn,0.0097,0.0037,0.0097
lex_Latn,0.0194,0.0071,0.0194
toj_Latn,0.0194,0.0021,0.0194
arb_Arab,0.3204,0.1257,0.3204
czt_Latn,0.0097,0.0008,0.0097
nhg_Latn,0.0291,0.0115,0.0291
ruf_Latn,0.0097,0.0039,0.0097
ote_Latn,0.0,0.0,0.0
akp_Latn,0.0097,0.005,0.0097
noa_Latn,0.0097,0.0003,0.0097
urw_Latn,0.0,0.0,0.0
xsm_Latn,0.0,0.0,0.0
gum_Latn,0.0097,0.0037,0.0097
viv_Latn,0.0,0.0,0.0
mww_Latn,0.0,0.0,0.0
njo_Latn,0.0097,0.0016,0.0097
rai_Latn,0.0097,0.0005,0.0097
nyf_Latn,0.0097,0.0021,0.0097
xla_Latn,0.0097,0.001,0.0097
quz_Latn,0.0194,0.0055,0.0194
mnb_Latn,0.0194,0.0058,0.0194
qvm_Latn,0.0291,0.0066,0.0291
avt_Latn,0.0097,0.005,0.0097
auc_Latn,0.0,0.0,0.0
bmu_Latn,0.0097,0.0003,0.0097
trn_Latn,0.0097,0.001,0.0097
mkl_Latn,0.0,0.0,0.0
lai_Latn,0.0097,0.0029,0.0097
acd_Latn,0.0,0.0,0.0
ukr_Cyrl,0.466,0.1999,0.466
tew_Latn,0.0097,0.0008,0.0097
ssg_Latn,0.0194,0.0016,0.0194
spp_Latn,0.0,0.0,0.0
lug_Latn,0.0097,0.0039,0.0097
tui_Latn,0.0097,0.0018,0.0097
mzl_Latn,0.0097,0.0003,0.0097
kup_Latn,0.0097,0.0003,0.0097
uzb_Latn,0.0291,0.0052,0.0291
kvg_Latn,0.0097,0.0005,0.0097
ndc_Latn,0.0097,0.0066,0.0097
ken_Latn,0.0,0.0,0.0
mie_Latn,0.0194,0.0084,0.0194
slk_Latn,0.4078,0.1737,0.4078
oss_Cyrl,0.0097,0.0026,0.0097
dyu_Latn,0.0097,0.0003,0.0097
kor_Latn,0.0097,0.0003,0.0097
pam_Latn,0.0485,0.0163,0.0485
coe_Latn,0.0097,0.0021,0.0097
nmh_Latn,0.0097,0.001,0.0097
rug_Latn,0.0097,0.0003,0.0097
dik_Latn,0.0097,0.0013,0.0097
mpp_Latn,0.0097,0.0003,0.0097
wbm_Latn,0.0097,0.0013,0.0097
pdc_Latn,0.0291,0.0094,0.0291
amh_Latn,0.0,0.0,0.0
kik_Latn,0.0097,0.0016,0.0097
kkc_Latn,0.0,0.0,0.0
yon_Latn,0.0,0.0,0.0
fin_Latn,0.2233,0.0811,0.2233
mgh_Latn,0.0097,0.001,0.0097
mta_Latn,0.0,0.0,0.0
niy_Latn,0.0,0.0,0.0
njn_Latn,0.0097,0.0034,0.0097
mwv_Latn,0.0097,0.0026,0.0097
gul_Latn,0.1165,0.0449,0.1165
smt_Latn,0.0097,0.0021,0.0097
mbf_Latn,0.2233,0.0913,0.2233
maq_Latn,0.0194,0.0042,0.0194
snc_Latn,0.0097,0.001,0.0097
isl_Latn,0.0971,0.031,0.0971
kgf_Latn,0.0097,0.001,0.0097
ace_Latn,0.0194,0.0102,0.0194
jmc_Latn,0.0097,0.0003,0.0097
icr_Latn,0.0485,0.0215,0.0485
kto_Latn,0.0097,0.005,0.0097
kyu_Mymr,0.0,0.0,0.0
tro_Latn,0.0097,0.0016,0.0097
lwo_Latn,0.0,0.0,0.0
snd_Arab,0.0485,0.0155,0.0485
plw_Latn,0.0194,0.0026,0.0194
npl_Latn,0.0194,0.0073,0.0194
kbh_Latn,0.0194,0.0047,0.0194
ivb_Latn,0.0194,0.0068,0.0194
mps_Latn,0.0,0.0,0.0
cof_Latn,0.0194,0.0092,0.0194
ixl_Latn,0.0194,0.0024,0.0194
gdn_Latn,0.0,0.0,0.0
bps_Latn,0.0097,0.0031,0.0097
amk_Latn,0.0194,0.0052,0.0194
toh_Latn,0.0097,0.0045,0.0097
cya_Latn,0.0194,0.0055,0.0194
ium_Thai,0.0,0.0,0.0
way_Latn,0.0,0.0,0.0
nhe_Latn,0.0097,0.0018,0.0097
sps_Latn,0.0194,0.0016,0.0194
ssd_Latn,0.0097,0.0016,0.0097
ksj_Latn,0.0,0.0,0.0
nan_Latn,0.0,0.0,0.0
awi_Latn,0.0,0.0,0.0
byx_Latn,0.0,0.0,0.0
